campaign_id,name,severity,detection_method,event_fact,state_framing,framing_delta,source_type,signal_title,published_at,url,region,channel,category
106,Manufactured outrage and hostile framing of a legal extradition process,HIGH,framing_analysis,"A Polish court approved the extradition of Russian archaeologist Alexander Butyagin to Ukraine, where he is wanted for conducting illegal excavations in Russian-occupied Crimea. The decision can be appealed, and the final decision rests with the Polish justice minister.","Russian state media frames the extradition decision as a 'political process' lacking legal basis, with the Russian MFA, presidential spokesman, and a senator all condemning it. They emphasize that the decision is not final and that Butyagin fears for his safety if extradited. They also highlight the involvement of the Hermitage museum in advocating for him.","Russian state media immediately politicizes the court's decision, calling it 'political' and lacking 'legal grounds' through official statements from high-ranking officials. They also introduce the narrative of Butyagin becoming a 'hostage' and fearing for his life, which is not present in the trusted media's factual reporting. This creates an outrage chain and hostile framing around a legal process.",rss,Задержанный в Польше археолог Бутягин не ожидает от суда «ничего хорошего»,2026-03-18 09:38:07+00,https://russian.rt.com/world/news/1608730-arheolog-butyagin-ozhidanie-sud-polsha?utm_source=rss&utm_medium=rss&utm_campaign=RSS,global,,ru_state
106,Manufactured outrage and hostile framing of a legal extradition process,HIGH,framing_analysis,"A Polish court approved the extradition of Russian archaeologist Alexander Butyagin to Ukraine, where he is wanted for conducting illegal excavations in Russian-occupied Crimea. The decision can be appealed, and the final decision rests with the Polish justice minister.","Russian state media frames the extradition decision as a 'political process' lacking legal basis, with the Russian MFA, presidential spokesman, and a senator all condemning it. They emphasize that the decision is not final and that Butyagin fears for his safety if extradited. They also highlight the involvement of the Hermitage museum in advocating for him.","Russian state media immediately politicizes the court's decision, calling it 'political' and lacking 'legal grounds' through official statements from high-ranking officials. They also introduce the narrative of Butyagin becoming a 'hostage' and fearing for his life, which is not present in the trusted media's factual reporting. This creates an outrage chain and hostile framing around a legal process.",rss,Суд в Польше решил экстрадировать российского археолога Бутягина на Украину,2026-03-18 11:25:33+00,https://russian.rt.com/world/news/1608788-arheolog-butyagin-polsha-ekstradiciya-ukraina?utm_source=rss&utm_medium=rss&utm_campaign=RSS,global,,ru_state
106,Manufactured outrage and hostile framing of a legal extradition process,HIGH,framing_analysis,"A Polish court approved the extradition of Russian archaeologist Alexander Butyagin to Ukraine, where he is wanted for conducting illegal excavations in Russian-occupied Crimea. The decision can be appealed, and the final decision rests with the Polish justice minister.","Russian state media frames the extradition decision as a 'political process' lacking legal basis, with the Russian MFA, presidential spokesman, and a senator all condemning it. They emphasize that the decision is not final and that Butyagin fears for his safety if extradited. They also highlight the involvement of the Hermitage museum in advocating for him.","Russian state media immediately politicizes the court's decision, calling it 'political' and lacking 'legal grounds' through official statements from high-ranking officials. They also introduce the narrative of Butyagin becoming a 'hostage' and fearing for his life, which is not present in the trusted media's factual reporting. This creates an outrage chain and hostile framing around a legal process.",rss,Poland agrees to extradite Russian archaeologist involved in excavations in Crimea to Ukraine,2026-03-18 12:24:00+00,https://www.pravda.com.ua/eng/news/2026/03/18/8026077/,global,,ukraine_media
106,Manufactured outrage and hostile framing of a legal extradition process,HIGH,framing_analysis,"A Polish court approved the extradition of Russian archaeologist Alexander Butyagin to Ukraine, where he is wanted for conducting illegal excavations in Russian-occupied Crimea. The decision can be appealed, and the final decision rests with the Polish justice minister.","Russian state media frames the extradition decision as a 'political process' lacking legal basis, with the Russian MFA, presidential spokesman, and a senator all condemning it. They emphasize that the decision is not final and that Butyagin fears for his safety if extradited. They also highlight the involvement of the Hermitage museum in advocating for him.","Russian state media immediately politicizes the court's decision, calling it 'political' and lacking 'legal grounds' through official statements from high-ranking officials. They also introduce the narrative of Butyagin becoming a 'hostage' and fearing for his life, which is not present in the trusted media's factual reporting. This creates an outrage chain and hostile framing around a legal process.",rss,Защита обжалует решение Польши об экстрадиции археолога Бутягина на Украину,2026-03-18 12:50:53+00,https://russian.rt.com/world/news/1608825-zaschita-arheolog-butyagin-obzhalovanie-polsha?utm_source=rss&utm_medium=rss&utm_campaign=RSS,global,,ru_state
106,Manufactured outrage and hostile framing of a legal extradition process,HIGH,framing_analysis,"A Polish court approved the extradition of Russian archaeologist Alexander Butyagin to Ukraine, where he is wanted for conducting illegal excavations in Russian-occupied Crimea. The decision can be appealed, and the final decision rests with the Polish justice minister.","Russian state media frames the extradition decision as a 'political process' lacking legal basis, with the Russian MFA, presidential spokesman, and a senator all condemning it. They emphasize that the decision is not final and that Butyagin fears for his safety if extradited. They also highlight the involvement of the Hermitage museum in advocating for him.","Russian state media immediately politicizes the court's decision, calling it 'political' and lacking 'legal grounds' through official statements from high-ranking officials. They also introduce the narrative of Butyagin becoming a 'hostage' and fearing for his life, which is not present in the trusted media's factual reporting. This creates an outrage chain and hostile framing around a legal process.",rss,МИД РФ назвал политическим решение Польши выдать археолога Бутягина Украине,2026-03-18 13:55:52+00,https://www.kommersant.ru/doc/8515113,global,,russian_state
106,Manufactured outrage and hostile framing of a legal extradition process,HIGH,framing_analysis,"A Polish court approved the extradition of Russian archaeologist Alexander Butyagin to Ukraine, where he is wanted for conducting illegal excavations in Russian-occupied Crimea. The decision can be appealed, and the final decision rests with the Polish justice minister.","Russian state media frames the extradition decision as a 'political process' lacking legal basis, with the Russian MFA, presidential spokesman, and a senator all condemning it. They emphasize that the decision is not final and that Butyagin fears for his safety if extradited. They also highlight the involvement of the Hermitage museum in advocating for him.","Russian state media immediately politicizes the court's decision, calling it 'political' and lacking 'legal grounds' through official statements from high-ranking officials. They also introduce the narrative of Butyagin becoming a 'hostage' and fearing for his life, which is not present in the trusted media's factual reporting. This creates an outrage chain and hostile framing around a legal process.",rss,Посольство в Польше назвало неокончательным решение суда об экстрадиции Бутягина,2026-03-18 15:18:01+00,https://russian.rt.com/world/news/1608901-posolstvo-polsha-reshenie-butyagin?utm_source=rss&utm_medium=rss&utm_campaign=RSS,global,,ru_state
106,Manufactured outrage and hostile framing of a legal extradition process,HIGH,framing_analysis,"A Polish court approved the extradition of Russian archaeologist Alexander Butyagin to Ukraine, where he is wanted for conducting illegal excavations in Russian-occupied Crimea. The decision can be appealed, and the final decision rests with the Polish justice minister.","Russian state media frames the extradition decision as a 'political process' lacking legal basis, with the Russian MFA, presidential spokesman, and a senator all condemning it. They emphasize that the decision is not final and that Butyagin fears for his safety if extradited. They also highlight the involvement of the Hermitage museum in advocating for him.","Russian state media immediately politicizes the court's decision, calling it 'political' and lacking 'legal grounds' through official statements from high-ranking officials. They also introduce the narrative of Butyagin becoming a 'hostage' and fearing for his life, which is not present in the trusted media's factual reporting. This creates an outrage chain and hostile framing around a legal process.",rss,RT связался с отцом задержанного в Польше российского археолога Бутягина,2026-03-18 15:33:09+00,https://russian.rt.com/world/news/1608909-arheolog-zaderzhanie-butyagin?utm_source=rss&utm_medium=rss&utm_campaign=RSS,global,,ru_state
106,Manufactured outrage and hostile framing of a legal extradition process,HIGH,framing_analysis,"A Polish court approved the extradition of Russian archaeologist Alexander Butyagin to Ukraine, where he is wanted for conducting illegal excavations in Russian-occupied Crimea. The decision can be appealed, and the final decision rests with the Polish justice minister.","Russian state media frames the extradition decision as a 'political process' lacking legal basis, with the Russian MFA, presidential spokesman, and a senator all condemning it. They emphasize that the decision is not final and that Butyagin fears for his safety if extradited. They also highlight the involvement of the Hermitage museum in advocating for him.","Russian state media immediately politicizes the court's decision, calling it 'political' and lacking 'legal grounds' through official statements from high-ranking officials. They also introduce the narrative of Butyagin becoming a 'hostage' and fearing for his life, which is not present in the trusted media's factual reporting. This creates an outrage chain and hostile framing around a legal process.",rss,Польша экстрадирует в Украину российского археолога по обвинению в незаконных раскопках в Крыму,2026-03-18 16:23:00+00,https://rus.err.ee/1609971149/polsha-jekstradiruet-v-ukrainu-rossijskogo-arheologa-po-obvineniju-v-nezakonnyh-raskopkah-v-krymu,global,,estonian_media
106,Manufactured outrage and hostile framing of a legal extradition process,HIGH,framing_analysis,"A Polish court approved the extradition of Russian archaeologist Alexander Butyagin to Ukraine, where he is wanted for conducting illegal excavations in Russian-occupied Crimea. The decision can be appealed, and the final decision rests with the Polish justice minister.","Russian state media frames the extradition decision as a 'political process' lacking legal basis, with the Russian MFA, presidential spokesman, and a senator all condemning it. They emphasize that the decision is not final and that Butyagin fears for his safety if extradited. They also highlight the involvement of the Hermitage museum in advocating for him.","Russian state media immediately politicizes the court's decision, calling it 'political' and lacking 'legal grounds' through official statements from high-ranking officials. They also introduce the narrative of Butyagin becoming a 'hostage' and fearing for his life, which is not present in the trusted media's factual reporting. This creates an outrage chain and hostile framing around a legal process.",rss,Ukraine’s MFA comments on Polish court decision to extradite Russian archaeologist Butyagin,2026-03-18 16:38:00+00,https://www.ukrinform.net/rubric-society/4103056-ukraines-mfa-comments-on-polish-court-decision-to-extradite-russian-archaeologist-butyagin.html,global,,trusted
106,Manufactured outrage and hostile framing of a legal extradition process,HIGH,framing_analysis,"A Polish court approved the extradition of Russian archaeologist Alexander Butyagin to Ukraine, where he is wanted for conducting illegal excavations in Russian-occupied Crimea. The decision can be appealed, and the final decision rests with the Polish justice minister.","Russian state media frames the extradition decision as a 'political process' lacking legal basis, with the Russian MFA, presidential spokesman, and a senator all condemning it. They emphasize that the decision is not final and that Butyagin fears for his safety if extradited. They also highlight the involvement of the Hermitage museum in advocating for him.","Russian state media immediately politicizes the court's decision, calling it 'political' and lacking 'legal grounds' through official statements from high-ranking officials. They also introduce the narrative of Butyagin becoming a 'hostage' and fearing for his life, which is not present in the trusted media's factual reporting. This creates an outrage chain and hostile framing around a legal process.",rss,Polish court approves extradition of Russian archaeologist to Ukraine,2026-03-18 17:09:32+00,https://notesfrompoland.com/2026/03/18/polish-court-approves-extradition-of-russian-archaeologist-to-ukraine/,poland,,polish_media
